Area_Name,Year,Group_Name,Sub_Group_Name,CD_Deaths_Reported,CD_No_of_Autopsy_conducted,CD_No_of_Cases_registered_in_connection_with_deaths,CD_No_of_Judicial_enquiry_orderedconducted,CD_No_of_Magisterial_enquiry_orderedconducted,CD_No_of_Policemen_Charge_sheeted,CD_No_of_Policemen_Convicted
Tripura,2002,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,NULL,NULL,NULL,NULL,NULL,NULL
Uttar Pradesh,2002,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,3,3,3,1,2,NULL,NULL
West Bengal,2002,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Andhra Pradesh,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Arunachal Pradesh,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Assam,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Bihar,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chandigarh,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chhattisgarh,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Daman & Diu,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Delhi,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,0,1,0,1,0,0
Gujarat,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,3,1,2,1,1,0,0
Haryana,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,0,1,0,0,0,0
Himachal Pradesh,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Jammu & Kashmir,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Karnataka,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Kerala,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,1,1,NULL,NULL,NULL,NULL
Maharashtra,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,5,5,2,0,0,0,0
Meghalaya,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Mizoram,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,2,NULL,2,NULL,2,NULL,NULL
Nagaland,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Odisha,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Punjab,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Tamil Nadu,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,4,4,3,NULL,4,NULL,NULL
Uttar Pradesh,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,2,2,2,NULL,2,1,NULL
West Bengal,2003,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Andhra Pradesh,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,3,2,2,0,2,0,0
Arunachal Pradesh,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Bihar,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chandigarh,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,0,0,1,0,0,0
Chhattisgarh,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Gujarat,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,7,3,4,2,7,0,0
Himachal Pradesh,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Karnataka,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Madhya Pradesh,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Maharashtra,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,4,4,1,0,0,0,0
Manipur,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Meghalaya,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Mizoram,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Nagaland,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Odisha,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Punjab,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Tamil Nadu,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,NULL,NULL,NULL,NULL,NULL,NULL
Uttar Pradesh,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
West Bengal,2004,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Andhra Pradesh,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,2,2,2,0,0,0,0
Arunachal Pradesh,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Assam,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chandigarh,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chhattisgarh,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Gujarat,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,1,1,0,1,0,0
Haryana,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Himachal Pradesh,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Jammu & Kashmir,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Karnataka,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Kerala,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,2,1,1,NULL,NULL,NULL,NULL
Madhya Pradesh,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Maharashtra,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,4,4,0,0,0,0,0
Manipur,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Meghalaya,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Mizoram,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Nagaland,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Odisha,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Punjab,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Tamil Nadu,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,NULL,NULL,NULL,NULL,NULL,NULL
Tripura,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,NULL,NULL,NULL,NULL,NULL
Uttar Pradesh,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,6,6,5,0,6,2,9
West Bengal,2005,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Andhra Pradesh,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Arunachal Pradesh,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Assam,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chandigarh,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chhattisgarh,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Gujarat,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,3,0,0,1,1,0,0
Himachal Pradesh,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,2,2,2,0,0,0,0
Jammu & Kashmir,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Karnataka,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Kerala,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,1,1,0,NULL,NULL,0
Madhya Pradesh,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Maharashtra,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,3,3,NULL,NULL,NULL,NULL,NULL
Manipur,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Meghalaya,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Mizoram,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Nagaland,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Odisha,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Punjab,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,NULL,1,NULL,1,NULL,NULL
Uttar Pradesh,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,4,4,4,0,2,2,10
West Bengal,2006,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Andhra Pradesh,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Arunachal Pradesh,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Assam,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Bihar,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chandigarh,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chhattisgarh,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Gujarat,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,2,2,1,0,2,0,0
Haryana,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Himachal Pradesh,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Jammu & Kashmir,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Karnataka,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Kerala,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Madhya Pradesh,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,11,3,4,4,7,6,0
Maharashtra,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,5,5,0,0,0,0,0
Manipur,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Meghalaya,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Mizoram,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,1,1,0,1,0,0
Nagaland,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Odisha,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Tripura,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Uttar Pradesh,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,4,4,4,0,4,11,0
West Bengal,2007,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Andhra Pradesh,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,3,3,3,0,3,0,0
Arunachal Pradesh,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Assam,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chandigarh,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chhattisgarh,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Gujarat,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,3,3,0,1,2,0,0
Haryana,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Himachal Pradesh,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Jammu & Kashmir,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Karnataka,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Madhya Pradesh,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,4,1,0,1,2,0,0
Maharashtra,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,5,5,1,0,1,0,0
Manipur,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Meghalaya,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Mizoram,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Nagaland,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Odisha,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Uttar Pradesh,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,4,4,4,0,4,16,NULL
West Bengal,2008,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Andhra Pradesh,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,1,1,1,1,0,0
Arunachal Pradesh,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Assam,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Bihar,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chandigarh,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Chhattisgarh,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,1,1,1,0,0,0
Gujarat,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,1,1,1,0,1,0
Haryana,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Himachal Pradesh,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Jammu & Kashmir,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
Karnataka,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,2,1,1,2,0,0,0
Madhya Pradesh,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,10,10,2,7,4,0,0
Maharashtra,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,1,1,0,0,0,0,0
Manipur,2009,During Production/Process in Courts/Journey Connected with Investigation,3. Deaths in Custody during production/process in courts/journey connected with investigation,0,0,0,0,0,0,0
