Area_Name,Year,Group_Name,Sub_Group_Name,PH_Houses_Provided_by_Department,PH_Houses_provided_on_LeaseRentGPRA,PH_Sanctioned_Strength
Chandigarh,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
Chhattisgarh,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,315,140
Dadra & Nagar Haveli,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,1,1
Daman & Diu,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),3,0,3
Delhi,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),172,NULL,371
Goa,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),6,11,34
Gujarat,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),77,28,376
Haryana,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),136,21,243
Himachal Pradesh,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),30,25,197
Jammu & Kashmir,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),73,NULL,569
Jharkhand,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,26,321
Karnataka,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),109,35,274
Kerala,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),122,5,424
Lakshadweep,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),2,NULL,2
Madhya Pradesh,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),105,156,859
Maharashtra,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,635,952
Manipur,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),16,NULL,202
Meghalaya,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),45,75,120
Mizoram,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),221,NULL,52
Nagaland,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),22,7,124
Odisha,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),165,77,416
Puducherry,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,1,20
Punjab,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,628
Rajasthan,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,NULL,740
Sikkim,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,66
Tamil Nadu,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),224,0,895
Tripura,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,NULL,344
Uttar Pradesh,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),229,395,1590
Uttarakhand,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),13,0,126
West Bengal,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),521,10,660
Andaman & Nicobar Islands,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),7,4,17
Andhra Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),30,NULL,475
Arunachal Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),88,7,95
Assam,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),77,1,531
Bihar,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),144,73,495
Chandigarh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
Chhattisgarh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),22,77,372
Dadra & Nagar Haveli,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,1,2
Daman & Diu,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),3,1,3
Delhi,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),209,0,371
Goa,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),4,9,34
Gujarat,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),92,34,376
Haryana,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),139,19,281
Himachal Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),43,21,197
Jammu & Kashmir,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),73,0,569
Jharkhand,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),20,16,57
Karnataka,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),108,33,272
Kerala,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),38,2,431
Lakshadweep,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),2,0,2
Madhya Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),105,156,813
Maharashtra,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,952
Manipur,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),20,0,205
Meghalaya,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),45,67,112
Mizoram,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),64,0,120
Nagaland,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,3,125
Odisha,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),165,77,416
Puducherry,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,1,22
Punjab,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,628
Rajasthan,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,NULL,766
Sikkim,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,66
Tamil Nadu,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),271,NULL,887
Tripura,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),50,NULL,344
Uttar Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),240,395,1590
Uttarakhand,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),49,0,126
West Bengal,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),513,10,627
Andaman & Nicobar Islands,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),7,4,17
Andhra Pradesh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),32,575,607
Arunachal Pradesh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),90,5,95
Assam,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),77,0,531
Bihar,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),144,73,475
Chandigarh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
Chhattisgarh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,73,82
Dadra & Nagar Haveli,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,2,2
Daman & Diu,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),3,1,4
Delhi,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),314,NULL,371
Goa,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),6,10,34
Gujarat,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),95,39,376
Haryana,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),138,25,282
Himachal Pradesh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),43,21,197
Jammu & Kashmir,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,569
Jharkhand,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),20,16,57
Karnataka,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),105,33,275
Kerala,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),38,2,424
Lakshadweep,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),2,NULL,2
Madhya Pradesh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),443,302,938
Maharashtra,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,963
Manipur,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),22,1,203
Meghalaya,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),45,67,112
Mizoram,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),64,0,120
Nagaland,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),152,4,126
Odisha,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),174,2,434
Puducherry,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),13,1,20
Punjab,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,618
Rajasthan,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),50,NULL,763
Sikkim,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,96
Tamil Nadu,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),272,NULL,912
Tripura,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),71,NULL,353
Uttar Pradesh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),240,395,1606
Uttarakhand,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),38,0,126
West Bengal,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),505,10,730
Andaman & Nicobar Islands,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),9,NULL,17
Andhra Pradesh,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),64,566,630
Arunachal Pradesh,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),90,5,95
Assam,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),6,0,531
Bihar,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),141,352,493
Chandigarh,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
Chhattisgarh,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),17,74,438
Dadra & Nagar Haveli,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,2,2
Daman & Diu,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,NULL,5
Delhi,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),410,NULL,408
Goa,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),12,7,33
Gujarat,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),107,36,376
Haryana,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),203,31,245
Himachal Pradesh,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),43,21,208
Jammu & Kashmir,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),73,0,601
Jharkhand,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),19,18,58
Karnataka,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),112,26,275
Kerala,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),60,2,427
Lakshadweep,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,1,2
Madhya Pradesh,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),443,302,809
Maharashtra,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,963
Manipur,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),32,1,234
Meghalaya,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),45,66,111
Mizoram,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),24,0,136
Nagaland,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),72,11,127
Odisha,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),174,2,443
Puducherry,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),13,1,25
Punjab,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,618
Rajasthan,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),50,NULL,863
Sikkim,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,102
Tamil Nadu,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),309,NULL,1046
Tripura,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,NULL,291
Uttar Pradesh,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1211,403,1632
Uttarakhand,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),39,NULL,126
West Bengal,2005,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),523,10,737
Andaman & Nicobar Islands,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),7,4,18
Andhra Pradesh,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),32,566,637
Arunachal Pradesh,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),77,19,96
Assam,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),9,0,531
Bihar,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),137,369,506
Chandigarh,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
Chhattisgarh,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),64,50,358
Dadra & Nagar Haveli,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,2,2
Daman & Diu,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,5
Delhi,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),332,NULL,425
Goa,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,6,33
Gujarat,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),146,25,415
Haryana,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),177,23,263
Himachal Pradesh,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),44,21,172
Jammu & Kashmir,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),73,0,650
Jharkhand,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),39,18,89
Karnataka,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),120,32,277
Kerala,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),143,0,433
Lakshadweep,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,1,2
Madhya Pradesh,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),364,191,914
Maharashtra,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,1078
Manipur,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),49,5,226
Meghalaya,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),45,65,110
Mizoram,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),125,6,149
Nagaland,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),41,10,128
Odisha,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),124,0,509
Puducherry,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,NULL,25
Punjab,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,652
Rajasthan,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),52,NULL,1029
Sikkim,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,84
Tamil Nadu,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),342,NULL,1073
Tripura,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,NULL,334
Uttar Pradesh,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1211,403,1632
Uttarakhand,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),59,0,161
West Bengal,2006,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),523,23,743
Andaman & Nicobar Islands,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),7,0,18
Andhra Pradesh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),32,622,654
Arunachal Pradesh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),80,16,96
Assam,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,0,538
Bihar,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),149,427,576
Chandigarh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
Chhattisgarh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,515
Dadra & Nagar Haveli,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,2,3
Daman & Diu,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,5
Delhi,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),224,NULL,439
Goa,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,7,48
Gujarat,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),153,19,451
Haryana,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),183,25,261
Himachal Pradesh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),178,21,172
Jammu & Kashmir,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),156,45,674
Jharkhand,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),99,13,456
Karnataka,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),110,33,279
Kerala,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),145,13,430
Lakshadweep,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,1,2
Madhya Pradesh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),364,119,914
Maharashtra,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,1128
Manipur,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),49,5,254
Meghalaya,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),45,67,112
Mizoram,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),54,24,166
Nagaland,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),120,646,133
Odisha,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),124,0,530
Puducherry,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,NULL,25
Punjab,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,652
Rajasthan,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),52,NULL,879
Sikkim,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,0,113
Tamil Nadu,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),345,NULL,1082
Tripura,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,0,334
Uttar Pradesh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1211,431,1642
Uttarakhand,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),67,NULL,164
West Bengal,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),500,18,719
Andaman & Nicobar Islands,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),9,NULL,18
Andhra Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,695,729
Arunachal Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),80,16,107
Assam,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),18,0,538
Bihar,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),159,463,622
Chandigarh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),17,0,17
Chhattisgarh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,28,551
Dadra & Nagar Haveli,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,3,3
Daman & Diu,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,5
Delhi,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),236,NULL,469
Goa,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,6,60
Gujarat,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),130,28,451
Haryana,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),188,55,296
Himachal Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,15,234
Jammu & Kashmir,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),156,45,801
Jharkhand,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),91,19,457
Karnataka,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),152,19,717
Kerala,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),90,23,433
Lakshadweep,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,1,2
Madhya Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,914
Maharashtra,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,1152
Manipur,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),49,5,265
Meghalaya,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,70,131
Mizoram,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),59,0,173
Nagaland,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),160,811,133
Odisha,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),186,0,772
Puducherry,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,NULL,25
Punjab,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,665
Rajasthan,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),52,NULL,887
Sikkim,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,88
Tamil Nadu,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),347,0,1084
Tripura,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,NULL,366
Uttar Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1033,436,1469
Uttarakhand,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),78,NULL,181
West Bengal,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),398,22,656
Andaman & Nicobar Islands,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,11,27
Andhra Pradesh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,973,1007
Arunachal Pradesh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),81,26,107
Assam,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),18,0,538
Bihar,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),159,481,640
Chandigarh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,30
Chhattisgarh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,551
Dadra & Nagar Haveli,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,2,3
Daman & Diu,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,5
Delhi,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),240,NULL,483
